"Primary_Accession",count
"Q96452",95
"P68252",95
"A6X798",1
"B3QKY6",4
"Q18C13",4
"A3CTY6",4
"Q92IE0",4
"P96789",14
"P29807",6
"P01011",105
"Q694B7",16
"Q8K449",11
"Q54EK2",31
"Q09428",31
"A4W6T0",4
"Q2VZG7",4
"Q7TTY7",4
"Q2P4C1",4
"B2SR15",4
"Q5H1F6",4
"C6VQ34",2
"Q88WG0",2
"A9IL94",4
"A7ZPD1",4
"P0A9Q6",4
"B1X927",4
"A8A2I5",4
"A1ADG5",4
"B1IXM6",4
"P0A9Q5",4
"B1LLS1",4
"Q1R996",4
"Q036L2",4
"A8YXR2",2
"B0JI13",4
"C6D8C0",4
"Q3IF41",4
"C0M856",4
"Q1CHM2",4
"O34421",4
"C1BAJ3",6
"Q8R0I0",36
"Q12031",36
"A1WCB1",4
"Q6D012",4
"Q8PFZ0",4
"Q9LTH8",4
"P02710",70
"P30926",68
"P25110",68
"P13908",70
"B2TJ17",40
"P77845",40
"Q8RED7",40
"Q8YU00",40
"C6DA54",40
"B1V924",40
"A0LIB0",40
"Q2JRF6",40
"Q9WYB1",40
"P27745",32
"Q8NQ98",16
"Q2A1K3",16
"Q54GQ6",6
"Q6BQF2",12
"A0KNI2",47
"Q87C00",44
"Q3URE1",19
"Q9Y707",187
"P07829",182
"P41113",182
"C9EIC7",8
"O65315",182
"P50138",183
"P10365",187
"P27743",8
"P97275",8
"P03958",6
"A6TVN2",6
"B1MZM2",6
"Q71X99",6
"Q8ERW5",6
"A5D1P3",6
"Q6GAV9",6
"B0KDB7",6
"Q1JCJ9",3
"Q92442",37
"Q4KLV6",18
"P27875",2
"O42814",18
"Q0HF12",13
"A7FEY8",13
"Q8ZHG0",13
"Q666N7",13
"O05204",2
"Q5HIR6",2
"Q8K9U9",27
"Q8VZC3",292
"P52476",302
"P30839",296
"Q1JPA0",296
"P43353",296
"P24298",1
"Q8BGT5",1
"O06478",302
"P46563",100
"Q42690",100
"P53442",100
"O83668",58
"Q98A05",54
"Q932V0",54
"Q9KUY6",54
"Q5HUQ3",42
"Q74FK2",54
"Q0HF52",54
"B2TX62",54
"Q31TW1",54
"Q48RM8",44
"Q5LY71",54
"P50490",6
"Q9UHK6",16
"A9C011",24
"P80695",110
"Q143Y9",150
"B0B9F3",150
"B0BB32",150
"A1WUV1",150
"B1ZAK8",150
"A1UIA8",150
"Q1B6R7",150
"B1JBA9",150
"C1AUB5",150
"Q1RJN2",150
"B1VZN5",150
"C4LA51",150
"Q54DD0",2
"P45274",41
"A6R035",2
"Q0CDB3",2
"B0DZL3",2
"Q96WX8",63
"Q9LK16",39
"Q03045",10
"O18552",50
"P27350",50
"O18920",126
"Q6D5V5",4
"A0Q7I7",4
"Q2RZV7",4
"Q0HG64",4
"Q0HSF7",4
"P24551",62
"P70075",64
"Q6Q2J0",34
"P56560",34
"Q499N2",4
"A0PYH7",60
"O27628",3
"A8AC98",3
"B1LAP9",3
"A0LT86",18
"P58538",18
"B5YZ98",18
"Q03PR5",18
"Q9KBQ3",88
"P58541",88
"B5YZ99",88
"P25098",20
"Q8CQG5",22
"B8DAM3",22
"B3GXD3",24
"C5BH95",24
"Q846B4",27
"C3PGJ1",27
"Q7NE70",31
"A9BAE1",31
"Q1GHL0",15
"Q976J5",15
"Q3Z731",8
"A6VFI9",4
"B6HQD4",4
"Q3K7U0",8
"Q8W468",2
"P05083",151
"A7H771",151
"P57159",151
"Q143B9",151
"Q5HUM8",151
"B0RHD6",151
"Q5KW95",151
"Q1MQL6",151
"Q0AM30",151
"B8EPF2",151
"C6DI79",151
"Q1LJQ2",151
"A4YBT8",151
"A5GHM4",151
"C4ZU97",1
"B1X8W8",1
"B1IXT2",1
"P77398",1
"Q12659",1
"C4JYG6",1
"P08566",1
"Q9RND7",19
"B8G2R0",16
"Q24V91",16
"Q11C97",24
"Q8YMB5",35
"C1CQY4",23
"A0LLU6",35
"Q3AR94",4
"Q5QV59",4
"B2U3J5",4
"A5FY49",18
"Q05FR1",18
"Q892J3",18
"Q74BL4",18
"B5Z736",18
"Q71Y87",18
"A0LDR1",18
"Q0ARD9",18
"B3DXL0",18
"Q07HS5",18
"Q07ZQ7",18
"O02607",18
"Q8X5X7",22
"B5YPY0",22
"Q3M8H2",12
"Q3AQX0",14
"A6M251",14
"Q7UZG2",12
"A4WVZ4",12
"B4U4B1",12
"P0A1B6",22
"P0A1B5",22
"B1IMQ1",233
"Q0AQ78",233
"Q3A2J0",233
"A4YAS7",233
"A1RFJ9",233
"Q9Y7J4",5
"P58798",5
"O50593",4
"P15848",1
"P50429",1
"Q3TYD4",20
"P18440",2
"Q7Z1F8",69
"Q9FRX6",4
"Q9LS09",11
"P0CM26",11
"P74383",19
"B7JIX2",4
"Q897F7",4
"Q8ZKW4",4
"P0CZ84",4
"P63626",4
"Q1JAR8",4
"Q1JKW9",4
"Q1J5R0",4
"Q48SJ3",4
"P0CZ85",4
"Q04489",2
"P19891",5
"Q9W2C3",19
"P10172",82
"Q5WED8",44
"A1A1W7",44
"A4JLD9",44
"C3L1U3",44
"B8ESL2",44
"Q8ELT8",44
"Q3A1V1",44
"Q3AG78",44
"Q12QD2",302
"Q9TV52",44
"Q4VNC0",40
"P05028",5
"Q80XR2",44
"B3RNE8",9
"A7TM40",2
"A5DVH6",3
"A7TQN1",2
"Q8YSD5",44
"B2TMJ2",44
"Q8PCM1",44
"Q0ZHH6",10
"Q6BV76",6
"Q06065",2
"A6TK63",148
"A1K1S0",148
"Q6FYM1",148
"A4YKD8",148
"A9M839",148
"A9WWS4",148
"Q8FYR3",148
"B1YQL2",148
"Q0BJL7",148
"A6MM21",148
"B3QWX7",148
"Q7P097",148
"A0A320",148
"C5BF38",148
"B8CZ12",148
"A8YUJ9",148
"Q9CER8",148
"A2RMI4",148
"Q9JXQ0",148
"A6Q4C2",148
"P12405",148
"Q9CKW2",148
"B2UGV1",148
"Q162S7",148
"A5UQN5",148
"P95787",148
"Q1JHN7",148
"A2RFC4",148
"A5E950",148
"A8LN39",148
"A6VWP9",148
"P38482",148
"A1EA15",148
"Q7VU44",148
"Q2YLE6",148
"Q57B88",148
"Q39KX6",148
"Q48AW0",148
"A8W3D7",148
"Q8MBG4",148
"B0UWG5",148
"A7Y3E6",148
"P33253",148
"B2HQK2",148
"A0PUK0",148
"Q2G5N5",148
"A4GG90",148
"Q4FQ37",148
"Q2RV18",148
"P05038",148
"B5ZAW1",148
"Q8DDG8",148
"Q7MGI0",148
"B9MBA2",18
"A1W2T6",18
"B8G6G7",18
"A4QDH2",18
"C5BF39",18
"Q5KUJ2",18
"Q17Y79",18
"B3WDL7",18
"Q03EL3",18
"Q41075",18
"Q12GQ1",18
"Q5PKX1",18
"B5BIN7",18
"Q31UN3",18
"C5CNB2",18
"Q87KA7",18
"P11718",44
"P04919",4
"C6DAJ1",1
"Q32JT2",1
"Q5REP0",38
"Q9FYA6",37
"A4YNP1",60
"Q2RWR8",60
"P71016",302
"Q985M6",302
"Q7XFK2",6
"Q8W0A1",6
"B8NKI4",6
"A7EBU5",6
"B8N2I5",6
"Q8FKG6",189
"A4W7D2",189
"Q3Z583",189
"Q7XKV4",219
"A2RAL4",35
"P26208",219
"Q59437",219
"A3MCH1",3
"A2S1Q3",3
"Q62B10",3
"Q3JL26",3
"A3NLD2",3
"Q63K37",3
"Q9VGI8",2
"O87943",12
"Q83IS4",3
"Q1ZXA4",133
"Q54SV9",66
"P24465",130
"Q42716",20
"Q6Z6D6",75
"P37121",19
