Primary_Accession,Domain,Color,Darkness,Disorder,Compositional_Bias,Transmembrane,Length,Evolutionary_Re-use,Interactions,Coding_Potential
P31946,Eukaryota,Non-dark,0%,23%,0%,0%,246,NA,32,5.48
P62258,Eukaryota,Non-dark,8%,9%,0%,0%,255,199,48,5.98
Q04917,Eukaryota,Non-dark,0%,7%,0%,0%,246,197,84,6.47
P61981,Eukaryota,Non-dark,0%,12%,0%,0%,247,NA,60,5.81
P31947,Eukaryota,Non-dark,0%,18%,0%,0%,248,197,36,7.26
P27348,Eukaryota,Non-dark,4%,4%,0%,0%,245,198,72,5.66
P63104,Eukaryota,Non-dark,0%,13%,0%,0%,245,NA,56,5.18
P30443,Eukaryota,Non-dark,22%,22%,0%,7%,365,490,4,12.42
P01892,Eukaryota,Non-dark,16%,16%,0%,7%,365,487,54,11.81
P04439,Eukaryota,Non-dark,24%,19%,0%,7%,365,492,52,12.84
P13746,Eukaryota,Non-dark,24%,20%,0%,7%,365,492,52,11.54
Q96QU6,Eukaryota,Non-dark,11%,7%,0%,0%,501,1457,2,6.46
Q4AC99,Eukaryota,Non-dark,29%,8%,0%,0%,568,1429,0,6.33
P30447,Eukaryota,Non-dark,19%,21%,0%,7%,365,491,58,8.09
P05534,Eukaryota,Non-dark,19%,22%,0%,7%,365,492,54,12.21
P18462,Eukaryota,Non-dark,24%,21%,0%,7%,365,493,12,11.99
P30450,Eukaryota,Non-dark,24%,23%,0%,7%,365,487,12,12.24
P30512,Eukaryota,Non-dark,24%,17%,0%,7%,365,493,4,10.38
P16188,Eukaryota,Non-dark,24%,18%,0%,7%,365,491,52,9.54
P16189,Eukaryota,Non-dark,24%,19%,0%,7%,365,495,4,11.79
P10314,Eukaryota,Non-dark,24%,20%,0%,7%,365,492,20,12
P16190,Eukaryota,Non-dark,24%,20%,0%,7%,365,494,24,7.52
P30453,Eukaryota,Non-dark,24%,22%,0%,7%,365,494,12,12.39
P30455,Eukaryota,Non-dark,24%,20%,0%,7%,365,490,4,10.9
P30456,Eukaryota,Non-dark,24%,19%,0%,7%,365,489,12,10.3
P30457,Eukaryota,Non-dark,24%,22%,0%,7%,365,490,12,12.11
P01891,Eukaryota,Non-dark,19%,19%,0%,7%,365,487,54,11.63
P10316,Eukaryota,Non-dark,19%,18%,0%,6%,365,487,54,8.33
P30459,Eukaryota,Non-dark,24%,21%,0%,7%,365,494,20,9.55
Q09160,Eukaryota,Non-dark,19%,22%,0%,7%,365,489,54,12.21
P01889,Eukaryota,Non-dark,18%,22%,0%,7%,362,492,72,11.93
P30460,Eukaryota,Non-dark,18%,24%,0%,7%,362,492,46,12.48
P30461,Eukaryota,Non-dark,18%,16%,0%,7%,362,491,64,12.78
P30462,Eukaryota,Non-dark,18%,24%,0%,7%,362,494,46,11.17
P30464,Eukaryota,Non-dark,18%,21%,0%,7%,362,494,50,11.14
P30466,Eukaryota,Non-dark,18%,25%,0%,7%,362,490,78,9.73
P03989,Eukaryota,Non-dark,18%,18%,0%,7%,362,492,54,12.25
P30685,Eukaryota,Non-dark,18%,19%,0%,7%,362,495,78,9.86
P18463,Eukaryota,Non-dark,18%,23%,0%,7%,362,493,70,11.83
Q95365,Eukaryota,Non-dark,18%,19%,0%,7%,362,493,46,8.21
P30475,Eukaryota,Non-dark,18%,24%,0%,7%,362,491,46,11.22
Q04826,Eukaryota,Non-dark,18%,20%,0%,7%,362,490,78,11.41
P30479,Eukaryota,Non-dark,18%,22%,0%,7%,362,494,46,9.77
P30480,Eukaryota,Non-dark,18%,20%,0%,7%,362,493,36,12.81
P30481,Eukaryota,Non-dark,18%,19%,0%,7%,362,491,68,12.2
P30483,Eukaryota,Non-dark,18%,22%,0%,7%,362,493,50,10.7
P30484,Eukaryota,Non-dark,18%,20%,0%,7%,362,496,50,9.99
P30485,Eukaryota,Non-dark,18%,18%,0%,7%,362,492,64,10.66
P30486,Eukaryota,Non-dark,18%,21%,0%,7%,362,494,54,10.92
P30487,Eukaryota,Non-dark,18%,21%,0%,7%,362,495,64,9.37
P30488,Eukaryota,Non-dark,18%,21%,0%,7%,362,495,50,8.87
P18464,Eukaryota,Non-dark,18%,21%,0%,7%,362,496,70,11.48
P30490,Eukaryota,Non-dark,18%,23%,0%,7%,362,496,50,7.76
P30491,Eukaryota,Non-dark,18%,19%,0%,7%,362,495,78,8.07
P30492,Eukaryota,Non-dark,18%,19%,0%,7%,362,493,62,9.91
P30493,Eukaryota,Non-dark,18%,21%,0%,7%,362,492,52,9.81
P30495,Eukaryota,Non-dark,18%,19%,0%,7%,362,492,52,9.87
P18465,Eukaryota,Non-dark,18%,15%,0%,7%,362,494,64,11.25
P10319,Eukaryota,Non-dark,18%,20%,0%,7%,362,497,64,10.4
Q29940,Eukaryota,Non-dark,18%,18%,0%,7%,362,490,62,11.7
