md5 checksum,Hit code,model number,avg. GDT,avg. TM,avg. RMSD,Prob.,E-value,P-value,HH score,Columns,Query HMM,Template,HMM
015c4b45a3323c9f3910ab7684f0ae78,2wo1_A,1,n/a,n/a,n/a,00.0,1E-90,9.4E-95,567.2,175,2-176,2-177,185
015c4b45a3323c9f3910ab7684f0ae78,3nru_A,2,n/a,n/a,n/a,00.0,5.4E-90,5.1E-94,563.7,175,2-176,1-175,187
015c4b45a3323c9f3910ab7684f0ae78,4et7_A,3,n/a,n/a,n/a,00.0,5.5E-90,5.2E-94,560.7,176,1-176,1-176,179
015c4b45a3323c9f3910ab7684f0ae78,4l0p_A,4,n/a,n/a,n/a,00.0,5.6E-90,5.3E-94,559.4,176,1-176,1-176,176
015c4b45a3323c9f3910ab7684f0ae78,2qbx_A,5,n/a,n/a,n/a,00.0,1.7E-89,1.6E-93,567.8,174,3-176,31-208,208
015c4b45a3323c9f3910ab7684f0ae78,3gxu_A,6,n/a,n/a,n/a,00.0,5.4E-89,5.1E-93,553.2,173,4-176,2-175,175
015c4b45a3323c9f3910ab7684f0ae78,2lw8_A,7,n/a,n/a,n/a,00.0,8.6E-89,8.2E-93,555.2,176,1-176,1-177,183
015c4b45a3323c9f3910ab7684f0ae78,4w4z_A,8,n/a,n/a,n/a,00.0,1.9E-88,1.8E-92,551.6,174,3-176,4-178,179
015c4b45a3323c9f3910ab7684f0ae78,3etp_A,9,n/a,n/a,n/a,00.0,2.3E-88,2.2E-92,554.2,175,2-176,6-184,187
015c4b45a3323c9f3910ab7684f0ae78,2hle_A,10,n/a,n/a,n/a,00.0,4.5E-88,4.2E-92,552.7,173,3-176,8-188,188
015c4b45a3323c9f3910ab7684f0ae78,1kgy_A,11,n/a,n/a,n/a,00.0,4.5E-88,4.4E-92,550.2,173,4-176,2-178,181
015c4b45a3323c9f3910ab7684f0ae78,1shw_B,12,n/a,n/a,n/a,00.0,5.6E-88,5.4E-92,549.6,173,4-176,2-178,181
015c4b45a3323c9f3910ab7684f0ae78,3ckh_A,13,n/a,n/a,n/a,00.0,6.8E-88,6.5E-92,549.1,173,4-176,2-175,181
015c4b45a3323c9f3910ab7684f0ae78,3c8x_A,14,n/a,n/a,n/a,00.0,1E-87,9.3E-92,556.9,174,2-176,30-204,206
015c4b45a3323c9f3910ab7684f0ae78,3czu_A,15,n/a,n/a,n/a,00.0,1E-87,9.6E-92,557.0,174,2-176,31-205,207
015c4b45a3323c9f3910ab7684f0ae78,3hei_A,16,n/a,n/a,n/a,00.0,1.4E-87,1.4E-91,544.3,172,4-176,1-173,174
015c4b45a3323c9f3910ab7684f0ae78,2bba_A,17,n/a,n/a,n/a,00.0,1.7E-87,1.6E-91,548.2,173,3-176,5-185,185
015c4b45a3323c9f3910ab7684f0ae78,3p1i_A,18,n/a,n/a,n/a,00.0,3.8E-87,3.6E-91,551.5,170,3-176,27-200,200
015c4b45a3323c9f3910ab7684f0ae78,3mbw_A,19,n/a,n/a,n/a,00.0,2.8E-83,2.7E-87,561.2,173,3-176,31-204,330
015c4b45a3323c9f3910ab7684f0ae78,4bk4_A,20,n/a,n/a,n/a,00.0,4.6E-83,5E-87,586.4,174,3-176,41-215,568
015c4b45a3323c9f3910ab7684f0ae78,4bkf_A,21,n/a,n/a,n/a,00.0,5.7E-83,6.3E-87,585.8,174,3-176,41-215,568
015c4b45a3323c9f3910ab7684f0ae78,3mx0_A,22,n/a,n/a,n/a,00.0,7.9E-83,8.1E-87,570.5,172,4-176,2-174,409
015c4b45a3323c9f3910ab7684f0ae78,3fl7_A,23,n/a,n/a,n/a,00.0,1E-82,1.1E-86,580.2,173,3-176,32-205,536
015c4b45a3323c9f3910ab7684f0ae78,4m4p_A,24,n/a,n/a,n/a,00.0,1E-82,1.1E-86,574.2,174,3-176,4-178,518
015c4b45a3323c9f3910ab7684f0ae78,2x10_A,25,n/a,n/a,n/a,00.0,2.3E-82,2.5E-86,579.4,173,3-176,29-202,545
015c4b45a3323c9f3910ab7684f0ae78,4itc_A,26,n/a,n/a,n/a,82.6,0.091,9.7E-06,38.5,45,52-105,59-103,173
015c4b45a3323c9f3910ab7684f0ae78,3m1h_A,27,n/a,n/a,n/a,81.8,0.1,1.1E-05,38.3,46,52-106,63-108,178
015c4b45a3323c9f3910ab7684f0ae78,3rg1_C,28,n/a,n/a,n/a,38.1,3.8,0.00033,29.8,56,42-98,19-87,147
015c4b45a3323c9f3910ab7684f0ae78,3mtx_A,29,n/a,n/a,n/a,35.7,4.4,0.00039,29.6,56,42-98,20-88,151
